parent_dir,primary_bin,media_type,old_name,created_year,created_month,created_day,created_hour,created_minute,created_second,parsed_year,parsed_month,parsed_day,parsed_counter,pre_name,post_name,descriptor,day_match,ext,new_name,old_path,new_path
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-42.JPG,2013,5,17,0,44,4,2012,5,17,42,McGill-2012-05|17,42.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.42-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-42.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.42-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2014-10|30-Power_Rangers_Champions-1.jpg,2014,11,10,10,9,29,2014,10,30,1,McGill-2014-10|30,1.jpg,Power_Rangers_Champions,-Power_Rangers_Champions,.jpg,McGill-2014-10-30 00.00.01-Power_Rangers_Champions.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-10|30-Power_Rangers_Champions-1.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-10-30 00.00.01-Power_Rangers_Champions.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-13.jpg,2014,5,4,14,46,54,2014,5,3,13,McGill-2014-05|03,13.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.13-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-13.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.13-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2014-10|09-IAmNotAToddler-1.png,2014,10,9,22,10,2,2014,10,9,1,McGill-2014-10|09,1.png,IAmNotAToddler,-IAmNotAToddler,.png,McGill-2014-10-09 22.10.02-IAmNotAToddler.png,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-10|09-IAmNotAToddler-1.png,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-10-09 22.10.02-IAmNotAToddler.png
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-6.JPG,2013,5,16,22,48,59,2012,5,17,6,McGill-2012-05|17,6.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.06-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-6.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.06-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-7.JPG,2013,5,16,22,52,33,2012,5,17,7,McGill-2012-05|17,7.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.07-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-7.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.07-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-12.jpg,2014,5,4,14,46,51,2014,5,3,12,McGill-2014-05|03,12.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.12-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-12.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.12-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-1.JPG,2012,2,12,10,46,15,2012,2,12,1,McGill-2012-02|12,1.JPG,,,.JPG,McGill-2012-02-12 10.46.15.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-1.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 10.46.15.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-43.JPG,2013,5,17,0,48,15,2012,5,17,43,McGill-2012-05|17,43.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.43-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-43.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.43-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2014-11|02-Katie_Dinner-11.jpg,2014,11,2,21,35,52,2014,11,2,11,McGill-2014-11|02,11.jpg,Katie_Dinner,-Katie_Dinner,.jpg,McGill-2014-11-02 21.35.52-Katie_Dinner.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11|02-Katie_Dinner-11.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-11-02 21.35.52-Katie_Dinner.jpg
McGill-Pictures,McGill,Picture,McGill-2012-11|10-Pink_Puffs_2nd-1.jpg,2014,11,10,10,10,55,2012,11,10,1,McGill-2012-11|10,1.jpg,Pink_Puffs_2nd,-Pink_Puffs_2nd,.jpg,McGill-2012-11-10 00.00.01-Pink_Puffs_2nd.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-11|10-Pink_Puffs_2nd-1.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-11-10 00.00.01-Pink_Puffs_2nd.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-16.jpg,2014,5,4,16,42,29,2014,5,3,16,McGill-2014-05|03,16.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.16-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-16.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.16-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-5.JPG,2012,2,12,12,28,58,2012,2,12,5,McGill-2012-02|12,5.JPG,,,.JPG,McGill-2012-02-12 12.28.58.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-5.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 12.28.58.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-3.JPG,2013,5,16,22,46,46,2012,5,17,3,McGill-2012-05|17,3.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.03-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-3.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.03-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-2.JPG,2013,5,16,22,40,45,2012,5,17,2,McGill-2012-05|17,2.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.02-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-2.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.02-Orford.jpg
McGill-Pictures,McGill,Picture,McGill-2012-02|12-4.JPG,2012,2,12,12,27,34,2012,2,12,4,McGill-2012-02|12,4.JPG,,,.JPG,McGill-2012-02-12 12.27.34.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02|12-4.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-02-12 12.27.34.jpg
McGill-Pictures,McGill,Picture,McGill-2014-05|03-Visit_to_Boston-17.jpg,2014,5,4,16,43,27,2014,5,3,17,McGill-2014-05|03,17.jpg,Visit_to_Boston,-Visit_to_Boston,.jpg,McGill-2014-05-03 00.00.17-Visit_to_Boston.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05|03-Visit_to_Boston-17.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2014-05-03 00.00.17-Visit_to_Boston.jpg
McGill-Pictures,McGill,Picture,McGill-2012-05|17-Orford-44.JPG,2013,5,17,0,55,31,2012,5,17,44,McGill-2012-05|17,44.JPG,Orford,-Orford,.JPG,McGill-2012-05-17 00.00.44-Orford.jpg,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05|17-Orford-44.JPG,/Users/connorreed/Desktop/Images/iPhoto/McGill/McGill-Pictures/McGill-2012-05-17 00.00.44-Orford.jpg
