Year,Area,V Grade,Days,Sessions,Distinct Boulders,Completed,Flashed,Total Attempts,Total Minutes,Completion Rate,Success Rate,Flash Rate,Bounty Extra Soft,Soft,Hard,FA
2020,All Areas,8.0,1,1,1,1,0,10,20,1.000,1.000,0.000,0,0,0,0
2020,All Areas,7.5,2,2,1,0,0,15,60,0.000,0.000,0.000,0,0,0,0
2020,All Areas,7.0,3,6,5,4,0,27,125,0.800,0.667,0.000,0,0,0,1
2020,All Areas,5.5,1,1,1,1,0,8,45,1.000,1.000,0.000,0,0,0,0
2020,All Areas,5.0,5,9,6,4,0,38,162,0.667,0.444,0.000,0,0,0,0
2020,All Areas,4.0,4,4,4,4,1,11,33,1.000,1.000,0.250,0,0,0,0
2020,All Areas,3.0,1,1,1,1,0,2,2,1.000,1.000,0.000,0,0,0,0
2020,All Areas,2.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2018,All Areas,All Grades,66,233,214,157,37,1808,6968,0.734,0.674,0.173,3,31,24,2
2018,All Areas,11.0,4,4,3,0,0,50,225,0.000,0.000,0.000,0,0,0,0
2018,All Areas,10.0,20,22,13,6,0,313,1226,0.462,0.273,0.000,0,4,1,0
2018,All Areas,9.0,22,25,22,13,0,328,1350,0.591,0.520,0.000,1,5,1,0
2018,All Areas,8.5,1,1,1,0,0,30,150,0.000,0.000,0.000,0,0,0,0
2018,All Areas,8.0,23,30,27,14,1,270,1132,0.519,0.467,0.037,1,5,1,0
2018,All Areas,7.5,12,14,14,10,0,153,630,0.714,0.714,0.000,0,3,2,0
2018,All Areas,7.0,24,26,25,17,2,198,712,0.680,0.654,0.080,0,5,1,0
2018,All Areas,6.0,22,27,27,22,2,168,787,0.815,0.815,0.074,0,1,6,0
2018,All Areas,5.5,7,11,11,11,4,51,168,1.000,1.000,0.364,0,3,3,0
2018,All Areas,5.0,19,24,24,21,4,96,262,0.875,0.875,0.167,1,4,3,0
2018,All Areas,4.5,2,2,2,2,0,13,30,1.000,1.000,0.000,0,0,1,0
2018,All Areas,4.0,17,23,22,21,12,61,129,0.955,0.913,0.545,0,0,2,0
2018,All Areas,3.5,1,1,1,1,0,5,15,1.000,1.000,0.000,0,0,0,0
2018,All Areas,3.0,11,11,11,8,4,47,104,0.727,0.727,0.364,0,1,1,0
2018,All Areas,2.0,6,6,5,5,3,18,38,1.000,0.833,0.600,0,0,0,1
2018,All Areas,1.0,3,3,3,3,2,4,7,1.000,1.000,0.667,0,0,1,1
2018,All Areas,0.0,3,3,3,3,3,3,3,1.000,1.000,1.000,0,0,1,0
2017,All Areas,All Grades,31,76,61,38,8,644,3098,0.623,0.500,0.131,0,7,5,0
2017,All Areas,11.0,1,1,1,0,0,10,30,0.000,0.000,0.000,0,0,0,0
2017,All Areas,10.0,4,6,4,2,0,95,425,0.500,0.333,0.000,0,2,0,0
2017,All Areas,9.0,11,17,11,6,0,195,980,0.545,0.353,0.000,0,4,1,0
2017,All Areas,8.0,11,12,11,3,0,114,595,0.273,0.250,0.000,0,0,1,0
2017,All Areas,7.0,12,17,12,7,0,119,565,0.583,0.412,0.000,0,1,1,0
2017,All Areas,6.0,8,10,10,8,3,56,278,0.800,0.800,0.300,0,0,1,0
2017,All Areas,5.0,3,4,4,4,0,30,145,1.000,1.000,0.000,0,0,0,0
2017,All Areas,4.0,2,3,2,2,1,16,61,1.000,0.667,0.500,0,0,1,0
2017,All Areas,3.0,4,5,5,5,4,7,9,1.000,1.000,0.800,0,0,0,0
2017,All Areas,2.0,1,1,1,1,0,2,10,1.000,1.000,0.000,0,0,0,0
2016,All Areas,All Grades,57,165,147,113,32,941,4657,0.769,0.685,0.218,3,13,18,1
2016,All Areas,10.0,5,6,5,0,0,93,445,0.000,0.000,0.000,0,0,0,0
2016,All Areas,9.0,7,11,7,5,0,98,680,0.714,0.455,0.000,0,3,0,0
2016,All Areas,8.0,15,19,18,8,0,142,625,0.444,0.421,0.000,0,3,0,0
2016,All Areas,7.0,22,29,25,19,2,231,1078,0.760,0.655,0.080,3,1,3,0
2016,All Areas,6.0,25,40,33,26,5,223,1247,0.788,0.650,0.152,0,5,6,0
2016,All Areas,5.0,15,19,19,16,6,69,291,0.842,0.842,0.316,0,1,2,0
2016,All Areas,4.0,18,20,19,18,9,40,159,0.947,0.900,0.474,0,0,3,0
2016,All Areas,3.0,7,8,8,8,5,14,30,1.000,1.000,0.625,0,0,1,0
2016,All Areas,2.0,8,8,8,8,3,20,83,1.000,1.000,0.375,0,0,3,0
2016,All Areas,1.0,3,4,4,4,2,9,17,1.000,1.000,0.500,0,0,0,1
2016,All Areas,0.0,1,1,1,1,0,2,2,1.000,1.000,0.000,0,0,0,0
2015,All Areas,All Grades,32,111,90,72,21,789,3688,0.800,0.649,0.233,2,16,10,1
2015,All Areas,10.0,3,4,3,1,0,37,180,0.333,0.250,0.000,0,1,0,0
2015,All Areas,9.0,9,13,9,4,0,215,785,0.444,0.308,0.000,0,1,2,0
2015,All Areas,8.0,10,17,12,9,1,163,746,0.750,0.529,0.083,1,4,1,1
2015,All Areas,7.0,11,18,12,10,2,132,802,0.833,0.556,0.167,1,4,1,0
2015,All Areas,6.0,16,20,19,14,0,111,572,0.737,0.700,0.000,0,2,2,0
2015,All Areas,5.0,7,11,8,8,3,67,338,1.000,0.727,0.375,0,1,1,0
2015,All Areas,4.0,10,17,17,17,8,37,148,1.000,1.000,0.471,0,2,3,0
2015,All Areas,3.0,4,5,4,3,2,17,82,0.750,0.600,0.500,0,0,0,0
2015,All Areas,2.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2015,All Areas,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2015,All Areas,0.0,3,4,4,4,3,8,33,1.000,1.000,0.750,0,1,0,0
2014,All Areas,All Grades,26,92,88,73,39,423,1759,0.830,0.793,0.443,0,5,8,0
2014,All Areas,11.0,1,1,1,0,0,2,5,0.000,0.000,0.000,0,0,0,0
2014,All Areas,10.0,6,7,6,4,0,63,245,0.667,0.571,0.000,0,2,1,0
2014,All Areas,9.0,9,11,9,2,0,105,465,0.222,0.182,0.000,0,0,0,0
2014,All Areas,8.0,7,9,8,5,1,71,326,0.625,0.556,0.125,0,1,1,0
2014,All Areas,7.5,5,6,6,5,0,55,260,0.833,0.833,0.000,0,0,0,0
2014,All Areas,7.0,6,8,8,7,3,32,148,0.875,0.875,0.375,0,0,0,0
2014,All Areas,6.0,7,9,9,9,3,34,143,1.000,1.000,0.333,0,1,1,0
2014,All Areas,5.5,2,2,2,2,1,3,11,1.000,1.000,0.500,0,0,0,0
2014,All Areas,5.0,9,12,12,12,7,25,72,1.000,1.000,0.583,0,0,2,0
2014,All Areas,4.5,3,5,5,5,4,7,34,1.000,1.000,0.800,0,1,0,0
2014,All Areas,4.0,2,3,3,3,2,5,17,1.000,1.000,0.667,0,0,0,0
2014,All Areas,3.5,2,4,4,4,4,4,4,1.000,1.000,1.000,0,0,1,0
2014,All Areas,3.0,7,7,7,7,6,9,21,1.000,1.000,0.857,0,0,2,0
2014,All Areas,2.0,5,6,6,6,6,6,6,1.000,1.000,1.000,0,0,0,0
2014,All Areas,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2014,All Areas,0.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2013,All Areas,All Grades,14,34,27,23,4,196,861,0.852,0.676,0.148,0,3,4,0
2013,All Areas,9.0,1,5,1,1,0,50,300,1.000,0.200,0.000,0,0,0,0
2013,All Areas,8.0,5,7,6,3,0,50,190,0.500,0.429,0.000,0,1,0,0
2013,All Areas,7.0,3,4,3,3,0,19,67,1.000,0.750,0.000,0,2,0,0
2013,All Areas,6.0,2,2,2,1,0,23,80,0.500,0.500,0.000,0,0,1,0
2013,All Areas,5.0,6,7,6,6,1,32,141,1.000,0.857,0.167,0,0,1,0
2013,All Areas,4.0,3,4,4,4,0,14,60,1.000,1.000,0.000,0,0,1,0
2013,All Areas,3.0,1,1,1,1,0,3,15,1.000,1.000,0.000,0,0,1,0
2013,All Areas,1.0,2,2,2,2,1,3,6,1.000,1.000,0.500,0,0,0,0
2013,All Areas,0.0,1,2,2,2,2,2,2,1.000,1.000,1.000,0,0,0,0
2012,All Areas,All Grades,21,79,73,68,25,461,1705,0.932,0.861,0.342,0,4,10,2
2012,All Areas,9.0,2,4,2,1,0,50,200,0.500,0.250,0.000,0,0,0,0
2012,All Areas,8.0,3,6,5,3,0,57,250,0.600,0.500,0.000,0,2,0,0
2012,All Areas,7.0,7,9,7,6,1,108,371,0.857,0.667,0.143,0,1,3,0
2012,All Areas,6.0,5,5,5,4,0,58,245,0.800,0.800,0.000,0,0,1,1
2012,All Areas,5.0,9,11,11,11,2,48,182,1.000,1.000,0.182,0,1,3,1
2012,All Areas,4.0,11,16,16,16,6,72,266,1.000,1.000,0.375,0,0,2,0
2012,All Areas,3.0,11,13,13,13,6,41,121,1.000,1.000,0.462,0,0,1,0
2012,All Areas,2.0,6,9,8,8,4,21,64,1.000,0.889,0.500,0,0,0,0
2012,All Areas,1.0,2,2,2,2,2,2,2,1.000,1.000,1.000,0,0,0,0
2012,All Areas,0.0,3,4,4,4,4,4,4,1.000,1.000,1.000,0,0,0,0
2011,All Areas,All Grades,15,50,38,37,8,467,1963,0.974,0.740,0.211,0,6,4,0
2011,All Areas,9.0,4,11,4,4,0,160,690,1.000,0.364,0.000,0,1,0,0
2011,All Areas,8.0,4,7,5,5,0,95,465,1.000,0.714,0.000,0,1,1,0
2011,All Areas,7.0,3,5,4,4,0,40,180,1.000,0.800,0.000,0,1,0,0
2011,All Areas,6.0,6,9,9,8,4,33,184,0.889,0.889,0.444,0,3,0,0
2011,All Areas,5.0,5,6,5,5,1,81,201,1.000,0.833,0.200,0,0,2,0
2011,All Areas,4.0,6,8,7,7,2,49,212,1.000,0.875,0.286,0,0,1,0
2011,All Areas,3.0,2,2,2,2,0,6,25,1.000,1.000,0.000,0,0,0,0
2011,All Areas,2.0,1,1,1,1,0,2,5,1.000,1.000,0.000,0,0,0,0
2011,All Areas,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2010,All Areas,All Grades,14,40,37,34,9,346,1469,0.919,0.850,0.243,0,4,2,0
2010,All Areas,8.0,3,4,3,2,0,70,195,0.667,0.500,0.000,0,0,0,0
2010,All Areas,7.0,3,4,4,3,0,40,185,0.750,0.750,0.000,0,0,0,0
2010,All Areas,6.0,7,9,9,8,1,81,376,0.889,0.889,0.111,0,2,0,0
2010,All Areas,5.0,5,7,6,6,0,85,420,1.000,0.857,0.000,0,2,2,0
2010,All Areas,4.0,3,8,7,7,2,51,242,1.000,0.875,0.286,0,0,0,0
2010,All Areas,3.0,3,6,6,6,4,17,49,1.000,1.000,0.667,0,0,0,0
2010,All Areas,2.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2010,All Areas,1.0,1,1,1,1,1,1,1,1.000,1.000,1.000,0,0,0,0
2009,All Areas,All Grades,2,5,5,5,2,42,137,1.000,1.000,0.400,0,0,0,0
2009,All Areas,4.0,1,2,2,2,1,11,31,1.000,1.000,0.500,0,0,0,0
2009,All Areas,3.0,2,2,2,2,0,30,105,1.000,1.000,0.000,0,0,0,0
