name,year,est_year_watched,genre,sub_genre,movie_length,peak,consistency,premise,plot,information_gain,desired_effects,wit,length,timelessness,adjustment,overall_grade
"""One Crazy Summer""",1986,2014,"""comedy""","""""",93,,,,,,,,,,35,35.0
"""One Flew Over The Cuckoos Nest""",1975,2009,"""drama""","""""",133,,,,,,,,,,60,60.0
"""Orgazmo""",1997,2011,"""comedy""","""""",94,,,,,,,,,,65,65.0
"""Pelotero-Ballplayer""",2011,2011,"""documentary""","""sports""",77,,,,,,,,,,65,65.0
"""Phantom Thread""",2018,2018,"""drama""","""""",130,,,,,,,,,,50,50.0
"""Pineapple Express""",2008,2009,"""comedy""","""""",111,,,,,,,,,,60,60.0
"""Pirate Radio""",2009,2017,"""comedy""","""drama""",117,,,,,,,,,,65,65.0
"""Pirates of the Caribbean(1): The Curse of the Black Pearl""",2003,2012,"""action""","""fantasy""",143,,,,,,,,,,55,55.0
"""Pirates of the Caribbean(2): Dead Man's Chest""",2006,2012,"""action""","""fantasy""",151,,,,,,,,,,45,45.0
"""Pirates of the Caribbean(3): At World's End""",2007,2012,"""action""","""fantasy""",169,,,,,,,,,,40,40.0
"""Pirates of the Caribbean(4): On Stranger Tides""",2011,2012,"""action""","""fantasy""",136,,,,,,,,,,45,45.0
"""Pitch Perfect""",2012,2012,"""music""","""comedy""",112,,,,,,,,,,50,50.0
"""Pocahontas""",1995,2012,"""animated""","""adventure""",81,,,,,,,,,,35,35.0
"""Point Break""",1991,2014,"""action""","""""",122,,,,,,,,,,55,55.0
"""Pootie Tang""",2001,2007,"""comedy""","""""",81,,,,,,,,,,65,65.0
"""Popstar-Never Stop Never Stopping""",2016,2017,"""comedy""","""""",87,,,,,,,,,,45,45.0
"""Puddle Cruiser""",1996,2012,"""comedy""","""""",102,,,,,,,,,,75,75.0
"""Pulp Fiction""",1994,2007,"""drama""","""""",154,,,,,,,,,,70,70.0
"""Rain Man""",1988,2010,"""drama""","""""",133,,,,,,,,,,70,70.0
"""Ready Player One""",2018,2018,"""action""","""sci-fi""",140,,,,,,,,,,40,40.0
"""Real Genius""",1985,2008,"""comedy""","""sci-fi""",108,,,,,,,,,,70,70.0
"""Remember the Titans""",2000,2005,"""biography""","""sports""",113,,,,,,,,,,65,65.0
"""Requiem For a Dream""",2000,2010,"""drama""","""""",102,,,,,,,,,,75,75.0
"""Reservoir Dogs""",1992,2014,"""crime""","""drama""",99,,,,,,,,,,65,65.0
"""Road To Perdition""",2002,2009,"""crime""","""drama""",117,,,,,,,,,,65,65.0
"""Robin Hood: Men In Tights""",1993,1998,"""comedy""","""""",104,,,,,,,,,,50,50.0
"""Role Models""",2008,2009,"""comedy""","""""",99,,,,,,,,,,60,60.0
"""Rookie of the Year""",1993,2002,"""comedy""","""sports""",103,,,,,,,,,,40,40.0
"""Rounders""",1998,2007,"""drama""","""""",121,,,,,,,,,,70,70.0
"""Run Ronnie Run""",2002,2018,"""comedy""","""""",86,,,,,,,,,,40,40.0
"""Rushmore""",1998,2008,"""comedy""","""""",93,,,,,,,,,,70,70.0
