superAdjFV_rnk,adjFV_rnk,avgFV_rnk,ofpFV_rnk,superAdj_FV,adj_FV,avg_FV,ofp_FV,PV,FV,*BIO*,fnames,lnames,year,age,position,bats,throws,height,weight,p_type,FV_pts,FV_weight,*IDs*,prospect_id,mlb_id,mlb_draft_id,fg_major_id,fg_minor_id,*FG*,FGOvrRnk,FG_DraftRank,FG_OrgRank,FG_DraftPick,FGSchool,FG_Level,FG_Signed,FG_Team,FG_Athleticism,FG_Performer,FG_Risk,FG_Variance,FG_ETA,FG_FV,FG_Video,FG_ShortBlurb,FG_Blurb,*mlb*,MLB_School,MLB_Team,MLB_Drafted,MLB_Signed,MLB_ETA,MLB_FV,MLB_Blurb,*mi*,mi_team,mi_teamRank,mi_grade,mi_eta,mi_FV,*MLB_PRO*,MLB_OrgRank,MLB_OvrRank,*MLB_DRAFT*,MLB_Grade,MLB_Commit,*OFP*,FG_Hitters_pOFP,FG_Hitters_fOFP,MLB_Hitters_OFP,FG_Pitchers_pOFP,FG_Pitchers_fOFP,MLB_Pitchers_OFP,*BONUS_OFP*,MaxVelo_Bonus,FastballRPM_Bonus,BreakingRPM_Bonus,Athleticism_Bonus,Performance_Bonus,Trend_Bonus,*FG_HIT*,Hit_present,GamePower_present,RawPower_present,Speed_present,Field_present,Throws_present,Hit_future,GamePower_future,RawPower_future,Speed_future,Field_future,Throws_future,*FG_PITCH*,TJ_Date,Fastball_RPM,Breaking_RPM,Command_present,Fastball_present,Changeup_present,Curveball_present,Slider_present,Cutter_present,Splitter_present,Command_future,Fastball_future,Changeup_future,Curveball_future,Slider_future,Cutter_future,Splitter_future,*MLB_HIT*,hit,power,run,arm,field,*MLB_PITCH*,fastball,change,curve,slider,cutter,splitter,other,control,NSBL_Team,NSBL_Salary,NSBL_Year
335,384,738,159,"""44.6""","""43.6""","""40.0""","""53.2""","""49.1""","""53.6""","""|""","""Nick""","""Sandlin""",2020,"""23.4""","""RHP""","""R""","""R""","""71""","""170""","""professional""",160,4,"""|""",2414,680704,"""sandlin_nick""",,"""sa3006820""","""|""",,,24,,"""Southern Mississippi""","""AA""",,"""CLE""",1,,,,2020,40,"""ZrCL8mY_wUU""",,"""Sandlin is one of the more interesting and entertaining pitchers in the minors, a four-pitch, slot-altering sidearm reliever with plus command. He sits 90-93 with thresher shark tail, and all of his secondaries play because of how readily Sandlin locates them. Last year, before he was shut down with a forearm fracture that required surgery, he was throwing as many as 30 pitches over two relief innings against Double- and Triple-A hitting. He has the command and repertoire depth to do that against big leaguers so long as his stuff is back coming off the injury.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""49.1""","""53.6""",,"""|""",0.2500,0.0000,0.1667,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2750,50,45,50,50,50,,,60,45,55,50,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
336,336,361,364,"""44.6""","""44.1""","""42.0""","""51.0""","""42.8""","""51.7""","""|""","""Hunter""","""Brown""",2020,"""21.8""","""RHP""","""R""","""R""","""74""","""203""","""professional""",168,4,"""|""",2796,686613,"""brown_hunter""",,"""sa3010571""","""|""",,,9,,"""Wayne State""","""A""",,"""HOU""",,,,,2023,42,,"""Brown is a late-rising small school arm that has a workhorse body, mid-90's velocity and starter traits.""","""Brown was a late-rising arm for Division-II Wayne State in Michigan, with high level scouts running in for looks after a breakout outing at a Florida tournament in early March. He had buzz as high as the second round, but ended up slipping to the fifth on draft day, with some buzz that a rookie agent (since fired) vetoed what would've been a higher bonus in the third. Early returns are very positive on Brown in pro ball: up to 97, mixing in an above average slider and a usable changeup, with a workhorse frame with starter traits.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""42.8""","""51.7""",,"""|""",0.7500,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2500,35,55,40,,45,,,45,60,50,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
337,306,362,275,"""44.6""","""44.6""","""42.0""","""51.9""","""47.3""","""52.3""","""|""","""Luis""","""Frias""",2020,"""22.0""","""RHP""","""R""","""R""","""75""","""180""","""professional""",168,4,"""|""",2717,666818,,,"""sa917588""","""|""",,,14,,"""Dominican Republic""","""A""",,"""ARI""",-1,,,,2021,42,"""zxleCAlKeXc""",,"""At times, Frias looks like a stiff, velo-only bullpen prospect. At others, he's competing in or near the zone with four pitches, including a splitter that was much better in 2019. All four pitches give hitters a vastly different look. Frias' mid-90s fastball has tailing action and his curveball has vertical depth and eats up hitters who are cheating on velo, while the split has late bottom when it's on, and the slider has horizontal, cutting action. The movement profile of his fastball may not be the best for missing bats, but it's likely to be an impact pitch because of the velocity. He could end up with three average secondaries (there's a chance the split becomes better than that) and enough strikes to start, making him a potential No. 4/5 starter or late-inning reliever.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.3""","""52.3""",,"""|""",1.2500,0.0000,0.0000,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2350,2350,40,60,,45,45,,50,45,65,,50,50,,55,"""|""",,,,,,"""|""",,,,,,,,,,,
338,287,363,142,"""44.6""","""44.9""","""42.0""","""53.5""","""46.8""","""54.1""","""|""","""Angel""","""Macuare""",2020,"""20.2""","""RHP""","""R""","""R""","""74""","""188""","""professional""",168,4,"""|""",3148,,,,"""sa3003039""","""|""",,,15,,"""Venezuela""","""A-""",,"""HOU""",,,,,2022,42,,,"""He's not as lanky and projectable as most teenage arms, but Macuare has very advanced feel for pitching (toss out his two, walk-happy starts before Houston shut him down for a few weeks) and his fastball has monster vertical movement. He'll flash a plus curveball, which he can dot on the corners, but the changeup feel is a little behind. It looks like a potential backend starter on the surface but the fastball might play way better than that, enabling Macuare to be closer to a true No. 4.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.8""","""54.1""",,"""|""",0.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2250,2350,45,50,40,55,45,,,55,60,45,60,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
339,256,364,61,"""44.6""","""45.5""","""42.0""","""55.1""","""50.5""","""55.5""","""|""","""Tyler""","""Phillips""",2020,"""22.6""","""RHP""","""R""","""R""","""77""","""200""","""professional""",168,4,"""|""",1598,663969,,,"""sa875646""","""|""",,,21,,"""Bishop Eustace HS (NJ)""",,,"""TEX""",-1,,,,2021,42,"""SNd4V-aRCkE""",,"""Phillips fills the zone with four pitches and projects as a groundball-getting fifth starter. He has a chance to outproduce this FV grade by eating whole sleeves of innings and generating WAR that way (he's thrown 130 innings each of the last two years), but other than his changeup, Phillips doesn't have a weapon that misses bats.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.5""","""55.5""",,"""|""",0.5000,0.0000,0.0000,-1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2300,55,50,55,50,40,,,70,50,55,50,45,,,"""|""",,,,,,"""|""",,,,,,,,,,,
340,526,734,363,"""44.5""","""42.7""","""40.0""","""51.0""","""43.3""","""51.7""","""|""","""Camilo""","""Doval""",2020,"""22.9""","""RHP""","""R""","""R""","""74""","""185""","""professional""",160,4,"""|""",2654,666808,,,"""sa916835""","""|""",,,20,,"""Dominican Republic""","""A+""",,"""SFG""",,,,,2021,40,"""N5S-D2ZA5lQ""",,"""Doval is one of the weirder pitchers in all of the minors, as his delivery and stuff are each as odd as they are inconsistent. When he's right, the long-armed, side-winding right-hander chucks upper-90s stuff with either heavy sink, or rising cut action caused by his arm angle. He also throws a hard, horizontal slider. The Trackman readout for Doval is shocking. His primary fastball/cutter spins in at about 2700 rpm, which is incredible considering how hard he throws. He also generates nearly seven feet of extension, and the effective velocity of his fastball is about 2 mph harder than its actual velo. There are outings where he's untouchable for several innings. He also has nuclear outings where he walks everyone and gives up a bunch of runs before registering an out.   We're dying to capture Doval on the high speed camera and see how the hell this works and what could be done to improve his consistency. We're not even all that confident that he'll figure it out, but we're bewitched by his stuff and think he has a chance to be an elite bullpen weapon if he ever does.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.3""","""51.7""",,"""|""",1.2500,0.8333,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2750,2700,20,60,,,45,60,,35,60,,,50,70,,"""|""",,,,,,"""|""",,,,,,,,,,,
341,512,735,352,"""44.5""","""42.8""","""40.0""","""51.1""","""43.9""","""51.7""","""|""","""Prelander""","""Berroa""",2020,"""20.1""","""RHP""","""R""","""R""","""71""","""170""","""professional""",160,4,"""|""",3150,,,,"""sa3005069""","""|""",,,17,,"""Dominican Republic""","""A-""",,"""SFG""",1,,,,2021,40,,,"""Tilt Berroa's cap another 15 degrees and he's a dead on-mound ringer for Fernando Rodney, both physically and mechanically. Right now, he's mostly a teenager with premium arm strength and somewhat inconsistent secondaries, both of which flash at least average. Both secondaries will likely depend on location to work, and Berroa doesn't currently repeat consistently enough for that. But he has a chance to, which means he could end up with several bat-missing offerings and profile comfortably in a rotation. If only one secondary comes along, he's still a good reliever.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.9""","""51.7""",,"""|""",1.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2450,2400,35,55,45,,45,,,45,60,55,,50,,,"""|""",,,,,,"""|""",,,,,,,,,,,
342,360,358,479,"""44.5""","""43.8""","""42.0""","""50.0""","""40.0""","""50.9""","""|""","""Brenton""","""Doyle""",2020,"""22.1""","""CF""","""R""","""R""","""75""","""210""","""professional""",168,4,"""|""",3213,,,,"""sa3009965""","""|""",,,9,,"""Shepherd""","""R""",,"""COL""",1,,,,2024,42,,,"""Doyle was tough to learn about before the 2019 draft because while he became difficult to hide in the truest sense, nobody wanted to tip their hand as to where he was on their board, as small school players are placed with quite a bit of variability. The physical tools were obvious and pretty similar to what Dodgers prospect D.J. Peters looked like coming out of junior college. Doyle is built like an old school, run-stopping safety at a physical 6-foot-3, 220 pounds. He runs well, has power, and after the draft, against the best pitching he ever faced in his life, Doyle mashed. His ball/strike recognition and ability to spoil pitchers' pitches were much better than we would have anticipated considering how few quality arms he had seen to that point. He has everyday physical ability and isn't as raw as we thought he'd be.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""40.0""","""50.9""",,,,,"""|""",,,,1.0,,0.0,"""|""",30,30,60,60,40,55,45,50,60,60,50,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
343,351,359,274,"""44.5""","""43.9""","""42.0""","""51.9""","""33.6""","""53.6""","""|""","""Keithron""","""Moss""",2020,"""18.8""","""CF""","""S""","""R""","""71""","""170""","""professional""",168,4,"""|""",3055,,,,"""sa3005599""","""|""",,,17,,"""Bahamas""",,,"""TEX""",1,,,,2023,42,"""JL9e7YVE21I""",,"""It's odd for a player's profile to do a 180 before he turns 20, but Moss has gone from a speedy, up-the-middle amateur with a Lilliputian build to a positionless, switch-hitting thumper in just two years. The gap power Moss currently generates from both sides of the plate is surprising considering how physically overmatched he was when he first came stateside for 2018 instructs. Perhaps more impressive is how deft his bat control is as a teenage switch-hitter. He pairs an athletic leg kick with very simple hitting hands that he simply guides toward the ball, turning his wrists over through contact and whacking low-lying contact to all fields. Moss can still run, but his infield hands are not good. Optimistic scouts have him eventually passing at second base, while I have him projected to the outfield.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.6""","""53.6""",,,,,"""|""",,,,1.0,,0.0,"""|""",25,20,45,60,40,50,55,50,55,60,50,50,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
344,329,360,492,"""44.5""","""44.2""","""42.0""","""49.9""","""48.9""","""50.0""","""|""","""Franklyn""","""Kilome""",2020,"""24.9""","""RHP""","""R""","""R""","""78""","""215""","""professional""",168,4,"""|""",1422,642584,,,"""sa830592""","""|""",,,9,,"""Dominican Republic""",,,"""NYM""",,,,,2020,42,"""BMD8EhJwlVg""",,"""Tommy John surgery late in the fall of 2018 meant Kilome didn't pitch at all last year, though he was throwing with effort in the bullpen late in September. He has shown a starter's mix of pitches, especially during his brief time with the Mets (he was acquired from Philly for Asdrbal Cabrera ahead of the 2018 deadline) when his strike throwing and changeup improved. Prior to that, he had been pretty raw for a pitcher his age and had begun to look like a bullpen arm, an outcome that became more likely due to the injury and his presence on New York's 40-man. There's a chance Kilome looks really good in the spring and the Mets decide to let him start while managing his workload, but we expect to see mid-90s heat and a great curveball out of the bullpen sometime in 2020.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""48.9""","""50.0""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2450,2450,40,60,45,55,,,,40,60,50,55,,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIL""",0.500,"""XXX"""
345,248,166,714,"""44.5""","""45.6""","""45.0""","""47.9""","""44.1""","""48.2""","""|""","""Colton""","""Welker""",2020,"""22.6""","""3B""","""R""","""R""","""74""","""195""","""professional""",180,4,"""|""",1806,666213,"""welker_colton""",,"""sa917962""","""|""",,,7,,"""Stoneman Douglas HS (FL)""","""AA""",,"""COL""",-1,,,,2021,45,,,"""From a hands and actions standpoint, Welker is actually fine at third base. It's his lateral quickness that's an issue, and why he's generally considered a first base prospect. But same as we've seen Travis Shaw and Max Muncy play elsewhere, it stands to reason someone out there thinks Welker can stay at third, or handle duties around the second base bag in certain situations. Those are the teams most likely to think Welker can play something resembling an everyday role, because while he has excellent feel to hit, he lacks the raw power typical of first base.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""44.1""","""48.2""",,,,,"""|""",,,,-1.0,,0.0,"""|""",45,40,50,35,45,55,55,45,50,30,45,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""NYM""",0.500,"""XXX"""
346,511,733,351,"""44.4""","""42.8""","""40.0""","""51.1""","""43.2""","""51.8""","""|""","""Steven""","""Jennings""",2020,"""21.5""","""RHP""","""R""","""R""","""74""","""175""","""professional""",160,4,"""|""",2001,675651,"""jennings_steven""",,"""sa3004812""","""|""",,,23,,"""DeKalb HS (TN)""","""A""",,"""PIT""",1,,,,2022,40,,,"""How much velocity can we still hope for Jennings to grow into? He's 21 now and isn't especially projectable, but he has had non-arm injuries (an ACL tear in high school, a broken rib) that have cost him reps and compromised his physicality for long stretches. He can still really spin it and his fastball, which was in the 88-92 range last year, has other traits that give it some room to breath at lesser speeds. There's a small chance more velo arrives, but I'm more inclined to project Jennings as a strike-throwing fifth starter who relies on his secondary stuff quite often.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""43.2""","""51.8""",,"""|""",0.0000,0.0000,1.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2500,3000,45,40,35,45,50,,,60,45,45,50,55,,,"""|""",,,,,,"""|""",,,,,,,,,"""BAL""",0.500,"""XXX"""
347,383,355,646,"""44.4""","""43.6""","""42.0""","""48.6""","""43.6""","""49.1""","""|""","""Jahmai""","""Jones""",2020,"""22.8""","""2B""","""R""","""R""","""71""","""210""","""professional""",168,4,"""|""",1052,663330,"""jones_jahmai""",,"""sa874807""","""|""",,,11,,"""Wesleyan HS (GA)""",,,"""LAA""",1,,,,2021,42,"""J40IH-lAmOs""",,"""Jones had the worst offensive season of his career in 2019 and arrived in the Arizona Fall League having made yet another swing change. He ran an unusually low BABIP last year, his underlying TrackMan data was still favorable (39% of balls in play hit 95 mph or above), and he was a college-aged player who spent all of last year at Double-A. I'm still betting on Jones' makeup and athleticism, and think he'll find a way to be a 1.5 to 2 WAR role player who sees time at second base and in left field.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""43.6""","""49.1""",,,,,"""|""",,,,1.0,,0.0,"""|""",40,40,50,60,40,45,50,45,50,60,45,45,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""NYM""",0.500,"""XXX"""
348,328,356,415,"""44.4""","""44.2""","""42.0""","""50.5""","""45.9""","""50.9""","""|""","""Aaron""","""Ashby""",2020,"""22.0""","""LHP""","""L""","""L""","""73""","""170""","""professional""",168,4,"""|""",2385,676879,"""ashby_aaron""",,"""sa3007225""","""|""",,,5,,"""Crowder JC (MO)""","""A+""",,"""MIL""",,,,,2022,42,"""v72e75qt5lg""",,"""Ashby has nasty, left-handed stuff and reliever's control. He was up to 94 during his first pro jaunt in 2018, then was up to 96 last year as a starter, velo I think will climb in the bullpen. His two breaking balls need better demarcation, but they each flash plus and Ashby will even show you an average changeup on occasion. Since he has viable starter's stuff, it's logical for the Brewers to continue developing him in that role just in case he develops starter's control later than is typical, and also to refine that secondary stuff with more reps than he'd get in the bullpen. Coming off his age-21 season, Ashby was on pace to reach Double-A during the back half of this year before the world turned upside down. He has a shot to debut in 2021, especially if Milwaukee 'pens him.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""45.9""","""50.9""",,"""|""",0.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2050,2300,35,50,45,55,50,,,40,55,50,60,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
349,301,357,264,"""44.4""","""44.7""","""42.0""","""52.0""","""49.4""","""52.2""","""|""","""Zac""","""Lowther""",2020,"""24.1""","""LHP""","""L""","""L""","""74""","""235""","""professional""",168,4,"""|""",2150,675912,"""lowther_zac""",,"""sa915645""","""|""",,,12,,"""Xavier""","""AA""",,"""BAL""",,,,,2020,42,"""wVeEOHsnDns""",,"""He doesn't throw very hard, but it takes hitters a few looks to get comfortable with Lowther, whose mechanical funk disrupts their timing. The sinking and tailing action on Lowther's heater makes it tough to square up, and the southpaw leans on his secondary stuff to finish hitters. His curveball has depth and it bites hard, but doesn't pair very well with the sinker and is best deployed as a means to get ahead of hitters early in the count. The changeup, which Lowther uses against both-handed hitters, has become his out pitch. It's a Ryan Yarbrough sort of mix, and Lowther's future role should be similar.  ""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""49.4""","""52.2""",,"""|""",0.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2550,45,50,50,55,,,,50,50,55,55,,,,"""|""",,,,,,"""|""",,,,,,,,,"""SEA""",0.500,"""XXX"""
350,247,165,435,"""44.4""","""45.6""","""45.0""","""50.3""","""33.6""","""51.8""","""|""","""Luis""","""Toribio""",2020,"""19.7""","""3B""","""L""","""R""","""73""","""210""","""professional""",180,4,"""|""",2993,678681,,,"""sa3005541""","""|""",,,8,,"""Dominican Republic""","""A-""",,"""SFG""",-1,,,,2024,45,,,"""More than any of the other teenagers on this list, Toribio is a fully formed physical entity, a brawny, heavy-footed thumper who looks like Aramis Ramirez did in his prime. That sort of physicality at this age creates risk that he'll outgrow third base, and it's very likely that, even if he stays there, he'll only be passable at the position.   Toribio's power and feel to hit -- he has some head violence when he takes big cuts, but still generates a loud, heavy thwack when his swing is more controlled and precise -- means he might profile at first base should he have to move. We don't expect much more raw power to come because he is already so physically mature. We're going to monitor his platoon splits over the next year because, to the eye, he's much less adept at picking up lefty stuff, perhaps concerningly so, but there's not nearly enough data to support that yet. If he stays at third and the bat-to-ball skills hold, he could be an above-average regular. The low-end of the potential outcomes is a platoon first baseman.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""33.6""","""51.8""",,,,,"""|""",,,,-1.0,,0.0,"""|""",20,25,60,40,40,55,50,60,65,30,45,55,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
351,536,728,555,"""44.3""","""42.6""","""40.0""","""49.3""","""47.8""","""49.4""","""|""","""Taylor""","""Hearn""",2020,"""25.8""","""LHP""","""L""","""L""","""77""","""210""","""professional""",160,4,"""|""",1627,621368,,18325,"""sa658531""","""|""",,,35,,"""Oklahoma Baptist""",,,"""TEX""",1,,,,2020,40,"""xBsQkoZ_9tw""",,"""The hope that injuries had slowed Hearn's development and that he'd develop starter traits late has now evaporated as he approaches age 26 without a swing-and-miss secondary. He now profiles as a fastball-heavy reliever. ""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""47.8""","""49.4""",,"""|""",1.0000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2200,40,60,45,,50,,,45,60,45,,50,,,"""|""",,,,,,"""|""",,,,,,,,,"""TAM""",0.500,"""XXX"""
352,537,729,511,"""44.3""","""42.6""","""40.0""","""49.7""","""46.1""","""50.0""","""|""","""Tim""","""Cate""",2020,"""22.7""","""LHP""","""L""","""L""","""72""","""170""","""professional""",160,4,"""|""",2473,669420,"""cate_tim""",,"""sa3007926""","""|""",,,9,,"""Connecticut""","""A+""",,"""WSN""",2,,,,2021,40,"""KDXLnErxMEQ""",,"""Cate has long been compared to Tim Collins as a smallish power lefty with mid-90s heat in short stints and a knockout breaking ball. Cate was first seen by most scouts in relief for two summers for College Team USA but was always a starter for UConn. His 92-95 mph heater in relief was more 88-92 mph in the rotation and he had forearm tightness early in his draft spring, along with a Tommy John surgery in high school. We mention that amateur background because it's still the conversation around Cate. The Nats hope he's still a league-average starter and think some added weight may increase his stamina. But plenty of evaluators just want to see Cate in the role where he's stood out most (and arguably the role where his arm injuries suggest he belongs), working an inning or two at a time in relief.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""46.1""","""50.0""",,"""|""",0.0000,0.0000,0.0000,2.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",0001-01-13,2100,2400,45,40,40,60,,,,50,45,45,60,,,,"""|""",,,,,,"""|""",,,,,,,,,,,
353,457,730,362,"""44.3""","""43.1""","""40.0""","""51.0""","""50.0""","""51.1""","""|""","""Edwar""","""Colina""",2020,"""23.1""","""RHP""","""R""","""R""","""71""","""240""","""professional""",160,4,"""|""",3363,,,,"""sa917405""","""|""",,,16,,"""Venezuela""","""AAA""",,"""MIN""",,,,,2020,40,,,"""A stocky, hard-throwing starter with upper-90s heat, Colina's fastball doesn't play as an elite pitch despite his velocity -- it has middling movement and he's an extreme short strider who loses two ticks of perceived velo -- but it's tough to square up because of how hard it is. Similarly, Colina's short, cuttery slider is effective because of how firm it is, and because he has excellent glove-side command of it. He also has a firm changeup that may be shelved, or at least de-emphasized since Colina moved to the bullpen late in 2019. His strike-throwing ability (there's pretty precise slider command but bully-you in the zone fastball control) might enable him to go multiple innings, in which case you could argue he's a 40+ FV.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""50.0""","""51.1""",,"""|""",1.5000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2300,2550,50,60,40,,50,,,50,60,40,,55,,,"""|""",,,,,,"""|""",,,,,,,,,,,
354,438,731,199,"""44.3""","""43.2""","""40.0""","""52.6""","""44.4""","""53.3""","""|""","""Freddy""","""Tarnok""",2020,"""21.5""","""RHP""","""R""","""R""","""75""","""185""","""professional""",160,4,"""|""",2248,676206,,,"""sa3005175""","""|""",,,17,,"""Riverview HS (FL)""","""A+""",,"""ATL""",1,,,,2022,40,"""n5hQB8FZnIU""",,"""Tarnok was primarily a hitter in high school, with many teams not taking him seriously as a pitcher or even seeing him multiple times until late in the spring. The Braves were the team highest on him, and talked him into giving pitching a shot full-time with a well-over-slot bonus.   Tarnok is, as expected, still raw, but it's easy to see what Braves scouts were so excited about: he has near-ideal body and arm action, along with standout arm strength, athleticism, and ability to spin the ball. He was a trendy breakout pick for 2019 but had a mostly lost year, including a velo dip into the mid-to-upper-80s in a game we saw, but bounced back to the normal 92-95 mph heater late in the year. Some teams were ready to buy low during the velo dip, but the Braves still believe in Tarnok's potential.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""44.4""","""53.3""",,"""|""",0.5000,0.0000,0.0000,1.0,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2450,2275,40,45,45,50,,,,50,55,55,55,,,,"""|""",,,,,,"""|""",,,,,,,,,"""OAK""",0.500,"""XXX"""
355,380,732,167,"""44.3""","""43.6""","""40.0""","""53.1""","""51.1""","""53.3""","""|""","""Kyle""","""Cody""",2020,"""25.8""","""RHP""","""R""","""R""","""79""","""245""","""professional""",160,4,"""|""",1274,621129,"""cody_kyle""",,"""sa658940""","""|""",,,27,,"""Kentucky""",,,"""TEX""",,,,,2020,40,"""jn7uVF8JLds""",,"""Cody had a rocky career at Kentucky, always tantalizing scouts with stuff but struggling with health and control. The Twins made him their 2015 second rounder, but he didn't sign and fell to the sixth round as a 2016 senior. Texas simplified his delivery in 2017, which probably contributed to a breakout year. He seemed likely to spend most of 2018 at Double-A and perhaps reach the majors in 2019, but he had elbow issues during the spring and didn't break camp with an affiliate. His Arizona rehab was successful enough for Cody to get on a mound in games for a bit, but he felt continued discomfort and needed Tommy John. The mid-summer timing of the surgery means he missed all of 2019 aside from some autumn bullpen sessions that weren't widely known about, probably just in case Texas decided not to 40-man him and expose him to the Rule 5. He was 94-97 in the bullpen and added to the Rangers roster. If healthy, he'll grab hold of a middle relief job.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""",,,,"""51.1""","""53.3""",,"""|""",1.0000,0.0000,0.0000,,,0.0,"""|""",,,,,,,,,,,,,"""|""",,2200,2550,40,60,,55,55,,,40,60,,60,60,,,"""|""",,,,,,"""|""",,,,,,,,,"""OAK""",0.500,"""XXX"""
356,381,352,570,"""44.3""","""43.6""","""42.0""","""49.2""","""40.0""","""50.0""","""|""","""Nick""","""Schnell""",2020,"""20.2""","""CF""","""L""","""R""","""75""","""185""","""professional""",168,4,"""|""",2463,678010,"""schnell_nick""",,"""sa3007639""","""|""",,,20,,"""Roncalli HS (IN)""","""A""",,"""TBR""",1,,,,2023,42,"""ISk4togAcBA""",,"""Schnell was a cold-weather high school hitter who went bonkers during his senior year, especially during the varsity postseason, which was late in the spring and closer to the draft when high-level scouts were coming in for looks. Based on his physical tools -- chiefly, the power and straight-line speed -- and body projection, Schnell has big upside. He's shown opposite field thump, which impresses some scouts though others argue his inside-out contact spray indicates a swing flaw. To possess premium bat speed and face pitching in the 80s but still inside-out home runs suggests that Schnell has been late on subpar stuff, and his deep hand load, which helps create the power, also creates a ton of length back to the ball. It's still too early to say definitively that this is a problem, in part because Schnell hasn't played many pro games yet due to injuries, which he has a history of (a broken bone in his right wrist in 2018, minor surgery on his right knee in April of 2019 to correct an ailment he described as stemming from wear and tear). He's a high-variance corner outfield power projection prospect.""","""|""",,,,,,,,"""|""",,,,,,"""|""",,,"""|""",,,"""|""","""40.0""","""50.0""",,,,,"""|""",,,,1.0,,0.0,"""|""",30,35,55,60,40,60,40,55,60,60,50,60,"""|""",,,,,,,,,,,,,,,,,,"""|""",,,,,,"""|""",,,,,,,,,"""MIN""",0.500,"""XXX"""
