player_name,teams,end_year,start_year,years,ip,k_9,bb_9,k_bb,hr_9,FIP,park_FIP,FIP_minus,FIP_WAR,ERA,park_ERA,ERA_minus,ERA_WAR
Chris Demaria,LAA,2007,2005,2,72.0,6.75,6.00,1.13,1.75,6.390,6.498,140.84,-1.34,6.750,6.865,148.79,-1.63
Chris Devenski,Oak/Sea,2020,2015,5,367.5,9.47,2.20,4.91,1.30,3.729,3.735,96.93,1.56,3.791,3.796,98.59,1.27
Chris George,SF,2006,2006,1,79.7,5.76,3.05,1.89,1.13,4.559,4.668,107.82,-0.12,4.740,4.853,112.11,-0.29
Chris Hammond,CIN,2006,2006,1,83.7,4.73,2.37,2.00,0.75,4.015,4.002,92.45,0.54,2.580,2.572,59.40,1.99
Chris Hatcher,Ari/LAA,2017,2012,4,299.0,9.72,2.71,3.90,1.17,3.671,3.647,95.79,1.47,3.973,3.942,104.27,0.26
Chris Heston,NYN/Mil,2016,2013,4,439.7,6.43,2.89,2.27,0.98,4.152,4.134,110.76,1.90,3.932,3.912,104.58,3.18
Chris Jakubauskas,CHN,2010,2010,1,71.7,4.77,3.01,1.58,1.13,4.798,4.766,111.76,-0.24,4.520,4.490,105.30,-0.01
Chris Leroux,Tam,2012,2012,1,99.7,8.40,2.53,3.32,1.26,4.124,4.194,103.24,0.09,3.880,3.946,97.13,0.40
Chris Mabeus,CHC,2006,2006,1,48.7,8.69,3.14,2.77,1.48,4.444,4.414,101.97,0.08,4.250,4.222,97.52,0.19
Chris Martin,Cin,2020,2015,3,138.3,8.33,1.56,8.67,0.85,3.097,3.086,79.61,1.79,3.905,3.892,100.41,0.35
Chris Narveson,LAA/ChA/SFG/SF,2013,2005,5,410.7,6.95,4.45,1.69,1.38,5.247,5.309,123.30,-1.67,5.849,5.914,137.08,-4.34
Chris Oxspring,CWS/ChA,2007,2005,3,121.3,5.34,4.52,1.21,1.41,5.562,5.489,126.54,-1.27,4.973,4.908,113.37,-0.43
Chris Paddack,Tex,2020,2015,2,111.4,11.80,2.26,5.21,2.26,4.582,4.492,116.11,0.19,4.200,4.118,106.41,0.69
Chris Perez,Bal,2014,2008,6,278.4,8.83,3.82,2.40,0.97,3.943,3.916,97.53,1.10,3.780,3.755,93.42,1.71
Chris Piersoll,CHC,2006,2006,1,11.3,4.77,5.56,0.86,1.59,6.279,6.237,144.08,-0.22,8.740,8.682,200.56,-0.53
Chris Ray,Min/TEX/Oak,2012,2005,7,535.6,7.33,3.70,2.03,1.18,4.601,4.590,106.34,-0.36,4.721,4.708,109.53,-1.18
Chris Reed,Det,2016,2016,1,26.3,4.79,6.49,0.74,1.71,6.738,6.693,184.78,-0.97,8.200,8.145,224.88,-1.43
Chris Reitsma,CLV,2006,2006,1,43.0,4.61,1.67,2.75,1.67,5.144,5.196,120.03,-0.33,5.860,5.919,136.74,-0.68
Chris Resop,Mil/PHI,2013,2008,4,304.7,9.25,3.72,2.56,1.00,3.847,3.810,96.51,2.56,4.135,4.096,103.40,1.48
Chris Rusin,NYN,2018,2017,2,141.7,7.24,2.67,2.93,0.83,3.650,3.712,97.12,0.60,3.619,3.681,96.30,0.65
Chris Sale,Mia/Bal/Was/Tor,2020,2011,10,1761.3,10.41,2.09,5.46,0.77,2.699,2.712,71.00,44.21,2.739,2.753,72.12,43.32
Chris Sampson,ATL/Ari,2009,2005,4,635.6,4.62,1.36,3.40,1.33,4.702,4.666,103.30,4.58,4.644,4.615,102.81,5.08
Chris Schroder,MIN/SF,2008,2005,3,274.1,10.05,4.04,2.57,1.74,5.000,5.075,111.37,-0.96,6.436,6.543,143.26,-5.39
Chris Smith,Cle,2011,2011,1,130.3,7.39,3.38,2.18,0.97,4.046,4.086,105.22,0.89,4.070,4.111,105.86,0.85
